ForecastKey,DateKey,Chain_ID,Zone,SKU_Code,Forecast_Qty,Forecast_Revenue,Target_Revenue,Forecast_CM2_Value,Confidence_Level,Forecast_Type
322,202604,CH08,South,SKU-103,258,37491.52,36399.56,13059.35,0.66,Rolling
323,202604,CH08,South,SKU-201,317,34942.61,34159.62,11549.27,0.72,Rolling
324,202604,CH08,South,SKU-202,274,63187.28,60126.79,20341.96,0.68,Rolling
325,202604,CH08,South,SKU-203,266,38809.01,37818.65,13087.61,0.88,Rolling
326,202604,CH08,South,SKU-301,259,39544.97,38101.08,12685.21,0.7,Rolling
327,202604,CH08,South,SKU-302,276,22874.88,22503.97,7373.4,0.71,Rolling
328,202604,CH08,South,SKU-303,297,61108.85,60402.48,20787.98,0.83,Rolling
329,202604,CH08,South,SKU-401,256,89975.82,92877.87,29888.2,0.95,Rolling
330,202604,CH08,South,SKU-402,271,38621.31,40090.05,13475.92,0.75,Rolling
331,202604,CH08,East,SKU-101,286,55381.23,53608.19,18299.17,0.93,Rolling
332,202604,CH08,East,SKU-102,250,73254.88,70476.61,24157.95,0.82,Rolling
333,202604,CH08,East,SKU-103,253,41860.48,40666.45,13630.08,0.79,Rolling
334,202604,CH08,East,SKU-201,282,26687.82,26797.83,9305.99,0.77,Rolling
335,202604,CH08,East,SKU-202,266,61758.16,63111.72,20805.15,0.94,Rolling
336,202604,CH08,East,SKU-203,279,39362.48,40287.96,12938.93,0.74,Rolling
337,202604,CH08,East,SKU-301,285,43829.85,42731.26,15099.8,0.68,Rolling
338,202604,CH08,East,SKU-302,288,23856.19,23956.47,7836.16,0.75,Rolling
339,202604,CH08,East,SKU-303,263,57392.8,54704.14,19506.37,0.76,Rolling
340,202604,CH08,East,SKU-401,277,100680.51,102988.46,34303.52,0.68,Rolling
341,202604,CH08,East,SKU-402,278,34467.67,34174.11,11477.95,0.79,Rolling
342,202604,CH08,West,SKU-101,280,51898.03,49617.38,17676.71,0.82,Rolling
343,202604,CH08,West,SKU-102,263,76274.55,76039.97,25577.89,0.84,Rolling
344,202604,CH08,West,SKU-103,278,39409.61,38056.42,13367.02,0.91,Rolling
345,202604,CH08,West,SKU-201,266,28995.0,29959.05,10044.37,0.83,Rolling
346,202604,CH08,West,SKU-202,290,60176.13,57724.41,20542.82,0.67,Rolling
347,202604,CH08,West,SKU-203,270,35416.69,36728.55,11514.43,0.76,Rolling
348,202604,CH08,West,SKU-301,284,44567.86,45977.98,15508.19,0.91,Rolling
349,202604,CH08,West,SKU-302,261,21147.61,20635.57,6827.01,0.74,Rolling
350,202604,CH08,West,SKU-303,292,59077.78,58684.21,19718.24,0.94,Rolling
351,202604,CH08,West,SKU-401,260,90148.28,86192.08,30170.82,0.89,Rolling
352,202604,CH08,West,SKU-402,245,31156.06,31979.83,10646.65,0.82,Rolling
353,202605,CH01,North,SKU-101,268,54029.1,55714.5,18607.51,0.84,Rolling
354,202605,CH01,North,SKU-102,268,83349.18,79380.14,26800.65,0.94,Rolling
355,202605,CH01,North,SKU-103,259,38547.14,37078.88,12428.11,0.7,Rolling
356,202605,CH01,North,SKU-201,257,27737.81,29086.97,9243.49,0.81,Rolling
357,202605,CH01,North,SKU-202,271,60905.92,57914.07,19493.05,0.68,Rolling
358,202605,CH01,North,SKU-203,245,31476.46,32718.88,10949.35,0.94,Rolling
359,202605,CH01,North,SKU-301,303,46140.43,44642.96,15880.9,0.92,Rolling
360,202605,CH01,North,SKU-302,290,26757.75,25680.97,8594.79,0.88,Rolling
361,202605,CH01,North,SKU-303,245,48816.09,50413.11,16817.82,0.92,Rolling
362,202605,CH01,North,SKU-401,260,85542.61,81966.66,28481.28,0.9,Rolling
363,202605,CH01,North,SKU-402,269,38159.54,37050.73,13297.32,0.67,Rolling
364,202605,CH01,South,SKU-101,295,56641.57,56201.76,18417.29,0.76,Rolling
365,202605,CH01,South,SKU-102,254,68859.67,68784.05,23683.45,0.82,Rolling
366,202605,CH01,South,SKU-103,294,46274.48,47050.07,15431.79,0.86,Rolling
367,202605,CH01,South,SKU-201,239,26150.74,25484.5,8970.78,0.65,Rolling
368,202605,CH01,South,SKU-202,255,60121.23,61659.58,20706.3,0.65,Rolling
369,202605,CH01,South,SKU-203,270,34347.44,34861.93,11077.85,0.7,Rolling
370,202605,CH01,South,SKU-301,269,38173.06,36971.46,12449.51,0.72,Rolling
371,202605,CH01,South,SKU-302,256,23177.61,23033.98,7956.39,0.87,Rolling
372,202605,CH01,South,SKU-303,248,53114.86,50883.14,17233.12,0.66,Rolling
373,202605,CH01,South,SKU-401,276,106021.44,110123.75,35233.61,0.76,Rolling
374,202605,CH01,South,SKU-402,260,32960.49,31748.48,10660.2,0.72,Rolling
375,202605,CH01,East,SKU-101,264,49020.8,47466.29,15897.2,0.93,Rolling
376,202605,CH01,East,SKU-102,250,67765.5,66843.08,21947.41,0.79,Rolling
377,202605,CH01,East,SKU-103,259,36373.42,36112.0,12712.43,0.75,Rolling
378,202605,CH01,East,SKU-201,292,32942.02,33897.7,11193.3,0.91,Rolling
379,202605,CH01,East,SKU-202,241,58936.25,60525.17,20560.63,0.88,Rolling
380,202605,CH01,East,SKU-203,292,41651.7,41748.24,14483.43,0.9,Rolling
381,202605,CH01,East,SKU-301,289,42318.42,40353.28,14729.76,0.83,Rolling
382,202605,CH01,East,SKU-302,260,24293.65,25111.18,8367.59,0.84,Rolling
383,202605,CH01,East,SKU-303,264,47934.69,49533.83,15464.83,0.84,Rolling
384,202605,CH01,East,SKU-401,270,102644.02,97836.33,35227.61,0.67,Rolling
385,202605,CH01,East,SKU-402,238,32547.42,31014.56,10454.72,0.83,Rolling
386,202605,CH01,West,SKU-101,286,55473.96,57137.24,18767.68,0.72,Rolling
387,202605,CH01,West,SKU-102,275,82676.49,83675.83,28860.48,0.71,Rolling
388,202605,CH01,West,SKU-103,307,48168.53,46239.2,15963.88,0.88,Rolling
389,202605,CH01,West,SKU-201,280,29374.4,28165.0,10277.39,0.92,Rolling
390,202605,CH01,West,SKU-202,298,69499.28,69096.91,23605.92,0.75,Rolling
391,202605,CH01,West,SKU-203,261,33137.08,34234.37,10950.51,0.77,Rolling
392,202605,CH01,West,SKU-301,294,45058.8,47115.73,15617.46,0.7,Rolling
393,202605,CH01,West,SKU-302,269,23105.5,22808.76,7528.95,0.68,Rolling
394,202605,CH01,West,SKU-303,282,61359.81,63037.5,20083.1,0.66,Rolling
395,202605,CH01,West,SKU-401,261,93337.93,90676.6,32357.73,0.95,Rolling
396,202605,CH01,West,SKU-402,243,32369.58,32447.5,11246.63,0.94,Rolling
397,202605,CH02,North,SKU-101,258,45639.84,45921.88,14623.38,0.77,Rolling
398,202605,CH02,North,SKU-102,240,63157.52,65274.67,20607.8,0.75,Rolling
399,202605,CH02,North,SKU-103,291,41901.84,40108.02,14308.23,0.77,Rolling
400,202605,CH02,North,SKU-201,284,28683.16,28543.2,9822.74,0.92,Rolling
401,202605,CH02,North,SKU-202,233,47620.33,47469.89,16503.23,0.76,Rolling
402,202605,CH02,North,SKU-203,301,44268.36,45406.79,14303.24,0.72,Rolling
403,202605,CH02,North,SKU-301,265,40241.57,40126.35,14031.74,0.78,Rolling
404,202605,CH02,North,SKU-302,292,25676.87,25285.92,8524.61,0.76,Rolling
405,202605,CH02,North,SKU-303,288,57855.9,60647.14,18617.99,0.8,Rolling
406,202605,CH02,North,SKU-401,284,102058.55,99399.56,35314.52,0.75,Rolling
407,202605,CH02,North,SKU-402,262,33517.88,32796.88,11144.66,0.76,Rolling
408,202605,CH02,South,SKU-101,271,52682.41,53494.6,17344.76,0.69,Rolling
409,202605,CH02,South,SKU-102,283,77790.57,77067.83,26056.5,0.81,Rolling
410,202605,CH02,South,SKU-103,278,44010.76,42082.96,14701.74,0.9,Rolling
411,202605,CH02,South,SKU-201,268,30406.79,31590.48,10433.77,0.77,Rolling
412,202605,CH02,South,SKU-202,271,58906.73,57936.46,20591.8,0.81,Rolling
413,202605,CH02,South,SKU-203,250,33884.89,32334.56,11313.35,0.78,Rolling
414,202605,CH02,South,SKU-301,284,47073.75,45571.01,15898.2,0.68,Rolling
415,202605,CH02,South,SKU-302,287,25183.74,26027.47,8765.94,0.95,Rolling
416,202605,CH02,South,SKU-303,251,46331.61,45274.04,15893.51,0.91,Rolling
417,202605,CH02,South,SKU-401,284,100229.79,102321.63,33248.73,0.9,Rolling
418,202605,CH02,South,SKU-402,279,38199.67,39671.23,12512.7,0.76,Rolling
419,202605,CH02,East,SKU-101,284,58507.32,57608.65,19370.6,0.92,Rolling
420,202605,CH02,East,SKU-102,268,74763.76,73094.06,25395.64,0.69,Rolling
421,202605,CH02,East,SKU-103,292,41810.41,42621.61,14135.22,0.71,Rolling
422,202605,CH02,East,SKU-201,259,27942.28,28329.9,9387.68,0.88,Rolling
423,202605,CH02,East,SKU-202,283,66803.16,65695.99,23143.12,0.83,Rolling
424,202605,CH02,East,SKU-203,287,36971.39,37128.19,12242.46,0.86,Rolling
425,202605,CH02,East,SKU-301,269,42253.19,43032.95,13796.29,0.95,Rolling
426,202605,CH02,East,SKU-302,289,24622.38,24710.11,7980.44,0.81,Rolling
427,202605,CH02,East,SKU-303,250,51394.27,50829.94,17214.84,0.91,Rolling
428,202605,CH02,East,SKU-401,246,81246.37,77482.29,26451.16,0.88,Rolling
429,202605,CH02,East,SKU-402,265,36206.96,34477.17,12364.73,0.68,Rolling
430,202605,CH02,West,SKU-101,285,53134.28,54522.53,18524.04,0.76,Rolling
431,202605,CH02,West,SKU-102,288,87721.26,89102.82,28578.03,0.74,Rolling
432,202605,CH02,West,SKU-103,249,35744.94,36259.66,12504.84,0.65,Rolling
433,202605,CH02,West,SKU-201,272,30484.96,30503.27,10252.43,0.79,Rolling
434,202605,CH02,West,SKU-202,258,56802.21,54260.84,19114.78,0.74,Rolling
435,202605,CH02,West,SKU-203,272,39992.72,41570.52,13025.63,0.75,Rolling
436,202605,CH02,West,SKU-301,275,40660.18,39648.19,14128.01,0.91,Rolling
437,202605,CH02,West,SKU-302,274,26059.31,27186.19,9096.78,0.69,Rolling
438,202605,CH02,West,SKU-303,251,50590.0,48153.92,16282.86,0.92,Rolling
439,202605,CH02,West,SKU-401,291,109942.52,110972.41,37839.7,0.78,Rolling
440,202605,CH02,West,SKU-402,247,33323.05,33492.81,10768.93,0.95,Rolling
441,202605,CH03,North,SKU-101,257,49591.98,49776.5,16523.78,0.88,Rolling
442,202605,CH03,North,SKU-102,271,81322.3,77459.7,27415.32,0.92,Rolling
443,202605,CH03,North,SKU-103,300,45247.13,47425.97,14749.65,0.67,Rolling
444,202605,CH03,North,SKU-201,290,30002.1,30044.72,10352.95,0.87,Rolling
445,202605,CH03,North,SKU-202,258,57572.03,59638.36,19970.3,0.94,Rolling
446,202605,CH03,North,SKU-203,292,39299.53,40379.68,13448.09,0.81,Rolling
447,202605,CH03,North,SKU-301,243,36628.53,36127.94,12412.93,0.85,Rolling
448,202605,CH03,North,SKU-302,255,21556.16,20880.77,7160.78,0.87,Rolling
449,202605,CH03,North,SKU-303,303,55727.5,56049.07,18318.13,0.9,Rolling
450,202605,CH03,North,SKU-401,258,90837.12,88467.88,30675.95,0.78,Rolling
451,202605,CH03,North,SKU-402,267,33023.01,33095.98,10899.49,0.65,Rolling
452,202605,CH03,South,SKU-101,261,49110.84,47302.83,16463.45,0.86,Rolling
453,202605,CH03,South,SKU-102,276,78772.73,78923.12,27122.4,0.78,Rolling
454,202605,CH03,South,SKU-103,280,41903.53,42993.89,13628.92,0.75,Rolling
455,202605,CH03,South,SKU-201,256,25278.03,25478.75,8694.26,0.89,Rolling
456,202605,CH03,South,SKU-202,274,65237.39,66737.02,22342.39,0.71,Rolling
457,202605,CH03,South,SKU-203,268,36475.6,37144.75,12315.55,0.9,Rolling
458,202605,CH03,South,SKU-301,259,36586.91,37282.83,12511.22,0.66,Rolling
459,202605,CH03,South,SKU-302,278,22739.73,22557.6,7409.22,0.77,Rolling
460,202605,CH03,South,SKU-303,264,55514.73,56108.9,17802.5,0.93,Rolling
461,202605,CH03,South,SKU-401,279,104078.99,100959.39,35113.82,0.79,Rolling
462,202605,CH03,South,SKU-402,266,35751.12,34232.93,12455.66,0.93,Rolling
463,202605,CH03,East,SKU-101,279,49478.68,50917.26,15945.21,0.67,Rolling
464,202605,CH03,East,SKU-102,272,71105.54,70558.84,23046.48,0.7,Rolling
465,202605,CH03,East,SKU-103,241,38112.05,39289.44,12713.27,0.8,Rolling
466,202605,CH03,East,SKU-201,222,22038.51,22135.26,7541.28,0.83,Rolling
467,202605,CH03,East,SKU-202,265,62485.01,61633.87,21374.97,0.8,Rolling
468,202605,CH03,East,SKU-203,298,40615.45,39663.74,14137.18,0.79,Rolling
469,202605,CH03,East,SKU-301,248,35060.01,35068.89,11809.55,0.75,Rolling
470,202605,CH03,East,SKU-302,284,24368.15,25003.74,8152.64,0.71,Rolling
471,202605,CH03,East,SKU-303,248,46229.23,48532.69,14861.57,0.78,Rolling
472,202605,CH03,East,SKU-401,268,95598.07,92251.91,32839.6,0.75,Rolling
473,202605,CH03,East,SKU-402,274,39982.24,41324.79,13523.96,0.77,Rolling
474,202605,CH03,West,SKU-101,270,55509.74,53310.35,18404.02,0.88,Rolling
475,202605,CH03,West,SKU-102,267,75617.45,76395.14,26465.67,0.8,Rolling
476,202605,CH03,West,SKU-103,255,35434.03,35642.44,11917.78,0.71,Rolling
477,202605,CH03,West,SKU-201,280,27804.68,27371.2,9723.69,0.76,Rolling
478,202605,CH03,West,SKU-202,283,66878.7,68677.89,22740.94,0.91,Rolling
479,202605,CH03,West,SKU-203,303,39179.55,38782.39,13428.76,0.85,Rolling
480,202605,CH03,West,SKU-301,253,39775.24,38785.16,13324.31,0.87,Rolling
481,202605,CH03,West,SKU-302,273,22607.7,21973.16,7409.35,0.82,Rolling
482,202605,CH03,West,SKU-303,270,49621.49,47991.09,17344.27,0.79,Rolling
483,202605,CH03,West,SKU-401,291,102653.24,104774.96,33442.64,0.86,Rolling
484,202605,CH03,West,SKU-402,259,32474.71,33361.72,10489.27,0.91,Rolling
485,202605,CH04,North,SKU-101,260,49803.02,49137.17,16901.32,0.93,Rolling
486,202605,CH04,North,SKU-102,275,77475.54,77257.39,26811.61,0.77,Rolling
487,202605,CH04,North,SKU-103,272,38697.45,39245.74,13215.54,0.82,Rolling
488,202605,CH04,North,SKU-201,250,25293.59,25282.61,8754.36,0.88,Rolling
489,202605,CH04,North,SKU-202,242,53921.04,55235.97,17481.27,0.85,Rolling
490,202605,CH04,North,SKU-203,256,31662.08,30559.01,10219.33,0.72,Rolling
491,202605,CH04,North,SKU-301,245,33951.52,34351.27,11007.8,0.93,Rolling
492,202605,CH04,North,SKU-302,301,27056.27,25779.23,9414.33,0.81,Rolling
493,202605,CH04,North,SKU-303,229,42166.19,41714.78,14340.63,0.79,Rolling
494,202605,CH04,North,SKU-401,264,88483.82,84945.73,30458.34,0.69,Rolling
495,202605,CH04,North,SKU-402,274,35349.41,35842.42,11796.45,0.77,Rolling
496,202605,CH04,South,SKU-101,274,50669.57,50968.83,17231.96,0.66,Rolling
497,202605,CH04,South,SKU-102,268,72645.66,73085.23,25134.36,0.91,Rolling
498,202605,CH04,South,SKU-103,239,36893.4,35591.32,12653.07,0.87,Rolling
499,202605,CH04,South,SKU-201,295,29050.23,30000.71,9880.49,0.92,Rolling
500,202605,CH04,South,SKU-202,236,53548.39,51062.0,17960.43,0.83,Rolling
501,202605,CH04,South,SKU-203,254,35453.03,35340.65,12257.55,0.75,Rolling
502,202605,CH04,South,SKU-301,297,47435.58,45587.18,15218.5,0.73,Rolling
503,202605,CH04,South,SKU-302,258,23600.81,24737.45,8056.03,0.78,Rolling
504,202605,CH04,South,SKU-303,280,60602.83,58261.45,20674.26,0.91,Rolling
505,202605,CH04,South,SKU-401,309,108848.13,110813.43,35639.49,0.83,Rolling
506,202605,CH04,South,SKU-402,258,34703.25,34804.55,11572.87,0.8,Rolling
507,202605,CH04,East,SKU-101,260,45683.2,44294.33,15416.17,0.89,Rolling
508,202605,CH04,East,SKU-102,252,75968.34,74488.16,26478.38,0.86,Rolling
509,202605,CH04,East,SKU-103,262,40000.96,38317.49,12941.52,0.7,Rolling
510,202605,CH04,East,SKU-201,284,26825.52,27290.99,8925.14,0.8,Rolling
511,202605,CH04,East,SKU-202,255,62251.73,59596.35,20450.78,0.72,Rolling
512,202605,CH04,East,SKU-203,257,37036.73,38565.83,12076.44,0.81,Rolling
513,202605,CH04,East,SKU-301,276,41433.44,40157.19,13865.56,0.77,Rolling
514,202605,CH04,East,SKU-302,285,23358.88,22397.71,8111.24,0.81,Rolling
515,202605,CH04,East,SKU-303,290,58288.36,58518.17,20157.34,0.68,Rolling
516,202605,CH04,East,SKU-401,257,96669.4,100912.06,33813.19,0.94,Rolling
517,202605,CH04,East,SKU-402,250,36103.23,37520.84,11755.39,0.84,Rolling
518,202605,CH04,West,SKU-101,298,52962.82,52739.38,17545.2,0.82,Rolling
519,202605,CH04,West,SKU-102,267,84018.46,84384.28,28079.72,0.94,Rolling
520,202605,CH04,West,SKU-103,251,40355.38,39390.21,13881.32,0.73,Rolling
521,202605,CH04,West,SKU-201,254,27115.36,28263.98,9313.85,0.7,Rolling
522,202605,CH04,West,SKU-202,286,66093.45,68289.49,22287.68,0.79,Rolling
523,202605,CH04,West,SKU-203,276,35302.12,35713.7,11544.34,0.67,Rolling
524,202605,CH04,West,SKU-301,263,39040.38,38985.74,12969.71,0.85,Rolling
525,202605,CH04,West,SKU-302,263,25036.66,25908.01,8702.97,0.78,Rolling
526,202605,CH04,West,SKU-303,272,56400.69,58604.14,19260.27,0.95,Rolling
527,202605,CH04,West,SKU-401,263,96006.55,97843.98,31660.56,0.89,Rolling
528,202605,CH04,West,SKU-402,295,41064.05,40621.11,14359.54,0.79,Rolling
529,202605,CH05,North,SKU-101,256,50569.77,48426.07,17098.05,0.93,Rolling
530,202605,CH05,North,SKU-102,289,90931.84,92738.9,29540.88,0.65,Rolling
531,202605,CH05,North,SKU-103,252,34868.41,33937.94,11950.07,0.83,Rolling
532,202605,CH05,North,SKU-201,285,27142.47,28207.84,8870.46,0.82,Rolling
533,202605,CH05,North,SKU-202,277,67588.47,67508.42,21745.19,0.93,Rolling
534,202605,CH05,North,SKU-203,274,37439.9,38693.16,12017.98,0.73,Rolling
535,202605,CH05,North,SKU-301,269,42466.58,42015.01,13936.69,0.65,Rolling
536,202605,CH05,North,SKU-302,281,24241.36,24397.03,7922.82,0.84,Rolling
537,202605,CH05,North,SKU-303,277,54167.38,55603.84,18304.81,0.93,Rolling
538,202605,CH05,North,SKU-401,265,100051.11,95541.25,32425.72,0.67,Rolling
539,202605,CH05,North,SKU-402,289,41969.23,41764.71,13435.22,0.77,Rolling
540,202605,CH05,South,SKU-101,253,50209.6,50146.98,16128.11,0.85,Rolling
541,202605,CH05,South,SKU-102,289,88381.32,85734.39,30638.86,0.75,Rolling
542,202605,CH05,South,SKU-103,304,43881.17,42791.79,14656.21,0.92,Rolling
543,202605,CH05,South,SKU-201,250,24982.6,25753.53,8684.16,0.78,Rolling
544,202605,CH05,South,SKU-202,263,59237.67,60330.3,20062.9,0.7,Rolling
545,202605,CH05,South,SKU-203,289,42489.7,41429.89,14532.18,0.74,Rolling
546,202605,CH05,South,SKU-301,261,41515.95,41751.82,14384.8,0.74,Rolling
547,202605,CH05,South,SKU-302,279,22947.6,22719.47,7675.62,0.76,Rolling
548,202605,CH05,South,SKU-303,261,49419.04,50453.83,17200.36,0.82,Rolling
549,202605,CH05,South,SKU-401,275,103415.26,101196.46,35001.05,0.94,Rolling
550,202605,CH05,South,SKU-402,274,36881.95,35260.49,12684.73,0.66,Rolling
551,202605,CH05,East,SKU-101,280,57412.04,55446.46,19257.61,0.83,Rolling
552,202605,CH05,East,SKU-102,268,76718.21,75271.42,25558.19,0.76,Rolling
553,202605,CH05,East,SKU-103,273,45297.99,45301.93,14759.21,0.79,Rolling
554,202605,CH05,East,SKU-201,291,31282.88,31432.94,10169.65,0.9,Rolling
555,202605,CH05,East,SKU-202,264,62774.25,63643.83,21779.39,0.84,Rolling
556,202605,CH05,East,SKU-203,282,35150.13,36120.45,11895.2,0.67,Rolling
557,202605,CH05,East,SKU-301,270,42855.61,43054.9,14939.78,0.7,Rolling
558,202605,CH05,East,SKU-302,275,24717.57,25267.91,8445.23,0.89,Rolling
559,202605,CH05,East,SKU-303,290,56295.53,57348.95,18856.62,0.71,Rolling
560,202605,CH05,East,SKU-401,272,93769.97,96674.53,31153.0,0.66,Rolling
561,202605,CH05,East,SKU-402,263,36859.84,38129.05,12642.02,0.76,Rolling
562,202605,CH05,West,SKU-101,269,49633.86,51014.31,17213.98,0.87,Rolling
563,202605,CH05,West,SKU-102,268,70772.15,69882.73,23631.86,0.83,Rolling
564,202605,CH05,West,SKU-103,263,40238.09,38751.05,13838.97,0.86,Rolling
565,202605,CH05,West,SKU-201,271,26004.04,26409.31,9032.17,0.68,Rolling
566,202605,CH05,West,SKU-202,258,55455.15,56308.85,18635.4,0.83,Rolling
567,202605,CH05,West,SKU-203,266,33113.7,33922.61,11337.56,0.85,Rolling
568,202605,CH05,West,SKU-301,277,38333.15,39516.56,12831.42,0.74,Rolling
569,202605,CH05,West,SKU-302,245,20949.04,21587.44,7281.09,0.92,Rolling
570,202605,CH05,West,SKU-303,298,59904.24,58223.42,20603.55,0.71,Rolling
571,202605,CH05,West,SKU-401,258,91071.12,89448.48,29563.93,0.79,Rolling
572,202605,CH05,West,SKU-402,292,42529.09,41235.66,13822.35,0.82,Rolling
573,202605,CH06,North,SKU-101,268,54298.56,55663.12,18910.44,0.77,Rolling
574,202605,CH06,North,SKU-102,255,68079.93,66642.43,22210.17,0.77,Rolling
575,202605,CH06,North,SKU-103,246,38491.28,38915.65,13135.18,0.85,Rolling
576,202605,CH06,North,SKU-201,247,23903.61,24723.44,8184.77,0.71,Rolling
577,202605,CH06,North,SKU-202,262,59724.13,61522.76,19585.8,0.71,Rolling
578,202605,CH06,North,SKU-203,285,40075.26,40286.19,13501.65,0.87,Rolling
579,202605,CH06,North,SKU-301,258,41948.65,41146.86,14111.07,0.86,Rolling
580,202605,CH06,North,SKU-302,267,24841.89,25415.93,8294.63,0.75,Rolling
581,202605,CH06,North,SKU-303,275,58957.71,56649.5,19624.1,0.79,Rolling
582,202605,CH06,North,SKU-401,266,94779.9,90951.51,32702.24,0.88,Rolling
583,202605,CH06,North,SKU-402,268,39163.41,38334.95,12824.87,0.93,Rolling
584,202605,CH06,South,SKU-101,286,51773.72,49926.93,16608.02,0.72,Rolling
585,202605,CH06,South,SKU-102,284,85305.53,83189.17,28309.39,0.94,Rolling
586,202605,CH06,South,SKU-103,257,37607.06,36138.98,12586.96,0.76,Rolling
587,202605,CH06,South,SKU-201,279,29256.74,27888.1,9905.39,0.67,Rolling
588,202605,CH06,South,SKU-202,275,58109.22,59964.91,20183.22,0.89,Rolling
589,202605,CH06,South,SKU-203,260,38110.22,37426.77,13132.82,0.65,Rolling
590,202605,CH06,South,SKU-301,283,46484.38,44708.24,15198.51,0.92,Rolling
591,202605,CH06,South,SKU-302,253,22391.17,21457.89,7356.8,0.81,Rolling
592,202605,CH06,South,SKU-303,290,59325.48,59301.94,19515.74,0.69,Rolling
593,202605,CH06,South,SKU-401,266,88559.3,87961.37,29451.12,0.66,Rolling
594,202605,CH06,South,SKU-402,274,34316.21,35836.98,11083.5,0.91,Rolling
595,202605,CH06,East,SKU-101,263,49565.72,47438.9,17002.29,0.67,Rolling
596,202605,CH06,East,SKU-102,299,85778.19,87691.33,28460.98,0.72,Rolling
597,202605,CH06,East,SKU-103,283,46425.25,45850.34,15561.16,0.76,Rolling
598,202605,CH06,East,SKU-201,258,26025.29,25838.3,8643.26,0.86,Rolling
599,202605,CH06,East,SKU-202,298,66396.33,68250.15,22523.57,0.67,Rolling
600,202605,CH06,East,SKU-203,244,32915.31,33987.87,10842.06,0.77,Rolling
601,202605,CH06,East,SKU-301,296,46384.35,45302.68,15005.86,0.65,Rolling
602,202605,CH06,East,SKU-302,246,21858.22,20905.2,7083.96,0.7,Rolling
603,202605,CH06,East,SKU-303,276,55725.43,54335.08,18452.56,0.68,Rolling
604,202605,CH06,East,SKU-401,256,98216.87,99667.14,34130.82,0.84,Rolling
605,202605,CH06,East,SKU-402,245,31775.84,31432.61,10784.02,0.78,Rolling
606,202605,CH06,West,SKU-101,257,47878.0,50077.15,16468.04,0.79,Rolling
607,202605,CH06,West,SKU-102,254,68449.91,66468.03,22655.58,0.91,Rolling
608,202605,CH06,West,SKU-103,249,37805.24,36959.96,12742.7,0.79,Rolling
609,202605,CH06,West,SKU-201,267,25899.13,26730.69,8976.03,0.72,Rolling
610,202605,CH06,West,SKU-202,247,56451.48,57667.18,18695.84,0.85,Rolling
611,202605,CH06,West,SKU-203,280,34973.2,33897.04,11263.32,0.91,Rolling
612,202605,CH06,West,SKU-301,285,39938.31,39032.95,13136.97,0.82,Rolling
613,202605,CH06,West,SKU-302,258,23686.36,23210.45,7901.09,0.69,Rolling
614,202605,CH06,West,SKU-303,286,61507.01,61479.15,21419.37,0.92,Rolling
615,202605,CH06,West,SKU-401,274,93248.74,91995.87,29966.82,0.83,Rolling
616,202605,CH06,West,SKU-402,281,35706.76,35507.37,11615.62,0.85,Rolling
617,202605,CH07,North,SKU-101,251,45758.01,44803.51,15810.64,0.79,Rolling
618,202605,CH07,North,SKU-102,274,79854.77,76475.85,27469.78,0.93,Rolling
619,202605,CH07,North,SKU-103,292,42934.04,40937.99,14577.91,0.81,Rolling
620,202605,CH07,North,SKU-201,268,26136.34,24854.78,8421.11,0.72,Rolling
621,202605,CH07,North,SKU-202,261,61205.42,59396.5,20848.29,0.75,Rolling
622,202605,CH07,North,SKU-203,270,33534.67,33535.55,11590.68,0.83,Rolling
623,202605,CH07,North,SKU-301,259,40698.63,42289.18,13073.7,0.67,Rolling
624,202605,CH07,North,SKU-302,261,21955.67,21343.7,7154.8,0.69,Rolling
625,202605,CH07,North,SKU-303,301,56863.46,55420.64,19787.94,0.88,Rolling
626,202605,CH07,North,SKU-401,285,106645.99,105666.9,34967.59,0.82,Rolling
627,202605,CH07,North,SKU-402,287,41886.2,43679.48,13702.8,0.78,Rolling
628,202605,CH07,South,SKU-101,251,46650.34,46035.18,14982.88,0.75,Rolling
629,202605,CH07,South,SKU-102,293,82901.91,79017.13,27451.12,0.7,Rolling
630,202605,CH07,South,SKU-103,257,38595.59,37722.55,13032.97,0.69,Rolling
631,202605,CH07,South,SKU-201,258,25511.48,25968.46,8539.83,0.88,Rolling
632,202605,CH07,South,SKU-202,306,66419.11,65220.58,21555.36,0.89,Rolling
633,202605,CH07,South,SKU-203,283,38760.57,37053.34,13049.34,0.89,Rolling
634,202605,CH07,South,SKU-301,273,42799.61,42206.79,14395.49,0.8,Rolling
635,202605,CH07,South,SKU-302,264,24904.16,23671.94,8666.86,0.8,Rolling
636,202605,CH07,South,SKU-303,280,55654.59,57518.87,18106.03,0.7,Rolling
637,202605,CH07,South,SKU-401,278,105056.24,106566.32,35274.17,0.75,Rolling
638,202605,CH07,South,SKU-402,282,39132.31,38715.48,13655.01,0.82,Rolling
639,202605,CH07,East,SKU-101,303,58968.69,60249.41,20188.07,0.92,Rolling
640,202605,CH07,East,SKU-102,269,84365.06,82020.26,28193.11,0.67,Rolling
641,202605,CH07,East,SKU-103,271,37675.18,37054.01,12498.48,0.95,Rolling
642,202605,CH07,East,SKU-201,255,28943.18,29788.37,10124.35,0.94,Rolling
643,202605,CH07,East,SKU-202,269,55854.79,55526.07,19229.16,0.8,Rolling
644,202605,CH07,East,SKU-203,280,36319.77,37684.3,12123.35,0.71,Rolling
