InventoryKey,DateKey,Hub_ID,SKU_Code,Opening_Stock_Units,Closing_Stock_Units,Days_of_Cover,Stock_Level_Status
409,20260429,WH_CH_01,SKU-102,328,333,18.5,NORMAL
410,20260429,WH_CH_01,SKU-103,727,723,34.5,NORMAL
411,20260429,WH_CH_01,SKU-201,625,615,25.7,NORMAL
412,20260429,WH_CH_01,SKU-202,467,491,30.7,NORMAL
413,20260429,WH_CH_01,SKU-203,862,831,43.8,NORMAL
414,20260429,WH_CH_01,SKU-301,150,155,9.1,WARNING
415,20260429,WH_CH_01,SKU-302,420,403,16.8,NORMAL
416,20260429,WH_CH_01,SKU-303,327,334,23.9,NORMAL
417,20260429,WH_CH_01,SKU-401,226,232,9.3,WARNING
418,20260429,WH_CH_01,SKU-402,585,577,26.3,NORMAL
419,20260429,WH_CH_01,SKU-101,1071,1023,42.7,NORMAL
420,20260429,WH_CH_01,SKU-102,1155,1110,39.7,NORMAL
421,20260429,WH_CH_01,SKU-103,383,374,19.7,NORMAL
422,20260429,WH_CH_01,SKU-201,459,455,28.5,NORMAL
423,20260429,WH_CH_01,SKU-202,1077,1069,36.9,NORMAL
424,20260429,WH_CH_01,SKU-203,389,374,15.0,NORMAL
425,20260429,WH_CH_01,SKU-301,561,569,24.8,NORMAL
426,20260429,WH_CH_01,SKU-302,506,509,24.3,NORMAL
427,20260429,WH_CH_01,SKU-303,880,867,43.4,NORMAL
428,20260429,WH_CH_01,SKU-401,766,801,30.8,NORMAL
429,20260429,WH_CH_01,SKU-402,317,308,22.0,NORMAL
430,20260429,WH_CH_01,SKU-101,889,922,43.9,NORMAL
431,20260429,WH_CH_01,SKU-102,344,353,18.6,NORMAL
432,20260429,WH_CH_01,SKU-103,573,571,23.8,NORMAL
433,20260429,WH_CH_01,SKU-201,290,279,14.7,NORMAL
434,20260429,WH_CH_01,SKU-202,1011,1034,43.1,NORMAL
435,20260429,WH_CH_01,SKU-203,218,210,17.5,NORMAL
436,20260429,WH_CH_01,SKU-301,344,348,18.4,NORMAL
437,20260429,WH_CH_01,SKU-302,859,869,29.0,NORMAL
438,20260429,WH_CH_01,SKU-303,577,566,23.6,NORMAL
439,20260429,WH_CH_01,SKU-401,642,642,33.8,NORMAL
440,20260429,WH_CH_01,SKU-402,842,824,29.4,NORMAL
441,20260506,WH_CH_01,SKU-101,303,295,24.6,NORMAL
442,20260506,WH_CH_01,SKU-102,470,479,31.9,NORMAL
443,20260506,WH_CH_01,SKU-103,473,491,30.7,NORMAL
444,20260506,WH_CH_01,SKU-201,166,174,19.3,NORMAL
445,20260506,WH_CH_01,SKU-202,83,87,8.0,WARNING
446,20260506,WH_CH_01,SKU-203,718,726,42.7,NORMAL
447,20260506,WH_CH_01,SKU-301,145,140,7.0,WARNING
448,20260506,WH_CH_01,SKU-302,606,629,45.0,NORMAL
449,20260506,WH_CH_01,SKU-303,158,156,8.2,WARNING
450,20260506,WH_CH_01,SKU-401,162,156,13.1,WARNING
451,20260506,WH_CH_01,SKU-402,432,439,29.3,NORMAL
452,20260506,WH_CH_01,SKU-101,679,673,35.4,NORMAL
453,20260506,WH_CH_01,SKU-102,545,531,29.6,NORMAL
454,20260506,WH_CH_01,SKU-103,261,257,15.1,NORMAL
455,20260506,WH_CH_01,SKU-201,319,323,19.0,NORMAL
456,20260506,WH_CH_01,SKU-202,1011,1022,36.5,NORMAL
457,20260506,WH_CH_01,SKU-203,221,212,8.5,WARNING
458,20260506,WH_CH_01,SKU-301,463,484,40.4,NORMAL
459,20260506,WH_CH_01,SKU-302,954,934,44.5,NORMAL
460,20260506,WH_CH_01,SKU-303,585,574,33.8,NORMAL
461,20260506,WH_CH_01,SKU-401,280,277,11.1,WARNING
462,20260506,WH_CH_01,SKU-402,1362,1305,43.5,NORMAL
463,20260506,WH_CH_01,SKU-101,265,276,12.0,WARNING
464,20260506,WH_CH_01,SKU-102,543,528,18.9,NORMAL
465,20260506,WH_CH_01,SKU-103,798,812,40.6,NORMAL
466,20260506,WH_CH_01,SKU-201,616,598,26.0,NORMAL
467,20260506,WH_CH_01,SKU-202,523,501,41.8,NORMAL
468,20260506,WH_CH_01,SKU-203,526,552,34.5,NORMAL
469,20260506,WH_CH_01,SKU-301,547,565,28.3,NORMAL
470,20260506,WH_CH_01,SKU-302,622,609,30.5,NORMAL
471,20260506,WH_CH_01,SKU-303,300,300,16.7,NORMAL
472,20260506,WH_CH_01,SKU-401,589,576,33.9,NORMAL
473,20260506,WH_CH_01,SKU-402,464,488,32.6,NORMAL
474,20260506,WH_CH_01,SKU-101,228,237,21.6,NORMAL
475,20260506,WH_CH_01,SKU-102,398,390,43.4,NORMAL
476,20260506,WH_CH_01,SKU-103,623,610,30.5,NORMAL
477,20260506,WH_CH_01,SKU-201,208,211,12.5,WARNING
478,20260506,WH_CH_01,SKU-202,462,468,39.0,NORMAL
479,20260506,WH_CH_01,SKU-203,641,659,26.4,NORMAL
480,20260506,WH_CH_01,SKU-301,940,929,33.2,NORMAL
481,20260506,WH_CH_01,SKU-302,459,443,23.4,NORMAL
482,20260506,WH_CH_01,SKU-303,136,131,7.7,WARNING
483,20260506,WH_CH_01,SKU-401,747,746,41.5,NORMAL
484,20260506,WH_CH_01,SKU-402,566,544,25.9,NORMAL
485,20260506,WH_CH_01,SKU-101,168,171,8.2,WARNING
486,20260506,WH_CH_01,SKU-102,634,633,30.2,NORMAL
487,20260506,WH_CH_01,SKU-103,881,880,36.7,NORMAL
488,20260506,WH_CH_01,SKU-201,287,287,19.2,NORMAL
489,20260506,WH_CH_01,SKU-202,683,674,32.1,NORMAL
490,20260506,WH_CH_01,SKU-203,445,439,18.3,NORMAL
491,20260506,WH_CH_01,SKU-301,126,129,9.2,WARNING
492,20260506,WH_CH_01,SKU-302,816,787,31.5,NORMAL
493,20260506,WH_CH_01,SKU-303,1036,1017,44.2,NORMAL
494,20260506,WH_CH_01,SKU-401,849,867,41.3,NORMAL
495,20260506,WH_CH_01,SKU-402,505,498,38.4,NORMAL
496,20260506,WH_CH_01,SKU-101,392,392,26.2,NORMAL
497,20260506,WH_CH_01,SKU-102,329,343,19.1,NORMAL
498,20260506,WH_CH_01,SKU-103,526,543,32.0,NORMAL
499,20260506,WH_CH_01,SKU-201,419,425,32.7,NORMAL
500,20260506,WH_CH_01,SKU-202,117,115,7.2,WARNING
501,20260506,WH_CH_01,SKU-203,696,676,35.6,NORMAL
502,20260506,WH_CH_01,SKU-301,259,256,19.7,NORMAL
503,20260506,WH_CH_01,SKU-302,717,697,29.1,NORMAL
504,20260506,WH_CH_01,SKU-303,552,532,26.6,NORMAL
505,20260506,WH_CH_01,SKU-401,195,189,11.9,WARNING
506,20260506,WH_CH_01,SKU-402,876,841,44.3,NORMAL
507,20260506,WH_CH_01,SKU-101,1365,1389,40.9,NORMAL
508,20260506,WH_CH_01,SKU-102,565,548,27.4,NORMAL
509,20260506,WH_CH_01,SKU-103,372,357,19.9,NORMAL
510,20260506,WH_CH_01,SKU-201,176,170,17.1,NORMAL
511,20260506,WH_CH_01,SKU-202,302,291,22.5,NORMAL
512,20260506,WH_CH_01,SKU-203,201,193,12.1,WARNING
513,20260506,WH_CH_01,SKU-301,485,493,23.5,NORMAL
514,20260506,WH_CH_01,SKU-302,682,692,43.3,NORMAL
515,20260506,WH_CH_01,SKU-303,1089,1106,42.6,NORMAL
516,20260506,WH_CH_01,SKU-401,630,617,34.3,NORMAL
517,20260506,WH_CH_01,SKU-402,158,162,8.1,WARNING
518,20260506,WH_CH_01,SKU-101,517,507,28.2,NORMAL
519,20260506,WH_CH_01,SKU-102,793,834,36.3,NORMAL
520,20260506,WH_CH_01,SKU-103,800,798,34.7,NORMAL
521,20260506,WH_CH_01,SKU-201,154,159,8.4,WARNING
522,20260506,WH_CH_01,SKU-202,460,472,21.5,NORMAL
523,20260506,WH_CH_01,SKU-203,476,459,23.0,NORMAL
524,20260506,WH_CH_01,SKU-301,307,309,15.5,NORMAL
525,20260506,WH_CH_01,SKU-302,995,1014,44.1,NORMAL
526,20260506,WH_CH_01,SKU-303,835,812,40.6,NORMAL
527,20260506,WH_CH_01,SKU-401,663,648,38.1,NORMAL
528,20260506,WH_CH_01,SKU-402,594,592,34.9,NORMAL
529,20260513,WH_CH_01,SKU-101,457,481,15.5,NORMAL
530,20260513,WH_CH_01,SKU-102,638,666,41.6,NORMAL
531,20260513,WH_CH_01,SKU-103,369,367,17.5,NORMAL
532,20260513,WH_CH_01,SKU-201,339,350,18.5,NORMAL
533,20260513,WH_CH_01,SKU-202,122,125,8.4,WARNING
534,20260513,WH_CH_01,SKU-203,210,215,9.8,WARNING
535,20260513,WH_CH_01,SKU-301,490,480,22.9,NORMAL
536,20260513,WH_CH_01,SKU-302,600,608,43.4,NORMAL
537,20260513,WH_CH_01,SKU-303,171,176,8.8,WARNING
538,20260513,WH_CH_01,SKU-401,629,643,35.8,NORMAL
539,20260513,WH_CH_01,SKU-402,290,304,21.7,NORMAL
540,20260513,WH_CH_01,SKU-101,507,530,26.5,NORMAL
541,20260513,WH_CH_01,SKU-102,166,174,9.2,WARNING
542,20260513,WH_CH_01,SKU-103,771,765,42.5,NORMAL
543,20260513,WH_CH_01,SKU-201,347,361,21.2,NORMAL
544,20260513,WH_CH_01,SKU-202,139,143,9.0,WARNING
545,20260513,WH_CH_01,SKU-203,544,527,32.9,NORMAL
546,20260513,WH_CH_01,SKU-301,918,961,41.8,NORMAL
547,20260513,WH_CH_01,SKU-302,314,317,21.2,NORMAL
548,20260513,WH_CH_01,SKU-303,439,421,26.3,NORMAL
549,20260513,WH_CH_01,SKU-401,596,609,33.8,NORMAL
550,20260513,WH_CH_01,SKU-402,569,552,34.5,NORMAL
551,20260513,WH_CH_01,SKU-101,379,394,18.8,NORMAL
552,20260513,WH_CH_01,SKU-102,227,224,8.0,WARNING
553,20260513,WH_CH_01,SKU-103,857,859,34.4,NORMAL
554,20260513,WH_CH_01,SKU-201,397,417,27.8,NORMAL
555,20260513,WH_CH_01,SKU-202,269,274,12.5,WARNING
556,20260513,WH_CH_01,SKU-203,787,827,39.4,NORMAL
557,20260513,WH_CH_01,SKU-301,355,351,27.1,NORMAL
558,20260513,WH_CH_01,SKU-302,686,717,37.8,NORMAL
559,20260513,WH_CH_01,SKU-303,125,127,7.5,WARNING
560,20260513,WH_CH_01,SKU-401,552,572,38.2,NORMAL
561,20260513,WH_CH_01,SKU-402,467,465,19.4,NORMAL
562,20260513,WH_CH_01,SKU-101,792,787,41.5,NORMAL
563,20260513,WH_CH_01,SKU-102,154,150,12.5,WARNING
564,20260513,WH_CH_01,SKU-103,273,284,11.0,WARNING
565,20260513,WH_CH_01,SKU-201,298,313,19.6,NORMAL
566,20260513,WH_CH_01,SKU-202,777,784,31.4,NORMAL
567,20260513,WH_CH_01,SKU-203,665,653,36.3,NORMAL
568,20260513,WH_CH_01,SKU-301,120,126,7.0,WARNING
569,20260513,WH_CH_01,SKU-302,533,517,23.5,NORMAL
570,20260513,WH_CH_01,SKU-303,270,262,13.1,WARNING
571,20260513,WH_CH_01,SKU-401,659,664,31.7,NORMAL
572,20260513,WH_CH_01,SKU-402,193,192,9.2,WARNING
573,20260513,WH_CH_01,SKU-101,737,709,29.6,NORMAL
574,20260513,WH_CH_01,SKU-102,514,498,33.2,NORMAL
575,20260513,WH_CH_01,SKU-103,985,966,38.7,NORMAL
576,20260513,WH_CH_01,SKU-201,174,179,13.8,WARNING
577,20260513,WH_CH_01,SKU-202,352,365,19.2,NORMAL
578,20260513,WH_CH_01,SKU-203,435,424,25.0,NORMAL
579,20260513,WH_CH_01,SKU-301,324,340,17.9,NORMAL
580,20260513,WH_CH_01,SKU-302,833,824,37.5,NORMAL
581,20260513,WH_CH_01,SKU-303,476,462,30.8,NORMAL
582,20260513,WH_CH_01,SKU-401,227,235,9.8,WARNING
583,20260513,WH_CH_01,SKU-402,330,318,24.5,NORMAL
584,20260513,WH_CH_01,SKU-101,201,205,7.9,WARNING
585,20260513,WH_CH_01,SKU-102,857,823,37.4,NORMAL
586,20260513,WH_CH_01,SKU-103,231,227,12.6,WARNING
587,20260513,WH_CH_01,SKU-201,719,721,31.4,NORMAL
588,20260513,WH_CH_01,SKU-202,998,961,43.7,NORMAL
589,20260513,WH_CH_01,SKU-203,664,691,28.8,NORMAL
590,20260513,WH_CH_01,SKU-301,568,562,37.5,NORMAL
591,20260513,WH_CH_01,SKU-302,366,369,19.4,NORMAL
592,20260513,WH_CH_01,SKU-303,222,222,11.1,WARNING
593,20260513,WH_CH_01,SKU-401,1170,1169,45.0,NORMAL
594,20260513,WH_CH_01,SKU-402,236,233,15.6,NORMAL
595,20260513,WH_CH_01,SKU-101,159,163,9.6,WARNING
596,20260513,WH_CH_01,SKU-102,451,440,33.9,NORMAL
597,20260513,WH_CH_01,SKU-103,189,197,18.0,NORMAL
598,20260513,WH_CH_01,SKU-201,580,559,31.1,NORMAL
599,20260513,WH_CH_01,SKU-202,247,238,12.5,WARNING
600,20260513,WH_CH_01,SKU-203,161,165,11.0,WARNING
601,20260513,WH_CH_01,SKU-301,701,693,28.9,NORMAL
602,20260513,WH_CH_01,SKU-302,714,742,35.3,NORMAL
603,20260513,WH_CH_01,SKU-303,623,629,39.3,NORMAL
604,20260513,WH_CH_01,SKU-401,786,804,42.4,NORMAL
605,20260513,WH_CH_01,SKU-402,555,536,26.8,NORMAL
606,20260513,WH_CH_01,SKU-101,676,707,41.6,NORMAL
607,20260513,WH_CH_01,SKU-102,330,327,13.7,WARNING
608,20260513,WH_CH_01,SKU-103,202,195,8.5,WARNING
609,20260513,WH_CH_01,SKU-201,566,595,25.9,NORMAL
610,20260513,WH_CH_01,SKU-202,465,479,26.7,NORMAL
611,20260513,WH_CH_01,SKU-203,681,697,29.1,NORMAL
612,20260513,WH_CH_01,SKU-301,585,590,31.1,NORMAL
613,20260513,WH_CH_01,SKU-302,578,584,29.2,NORMAL
614,20260513,WH_CH_01,SKU-303,742,712,35.6,NORMAL
615,20260513,WH_CH_01,SKU-401,654,662,41.4,NORMAL
616,20260513,WH_CH_01,SKU-402,799,815,37.1,NORMAL
617,20260520,WH_CH_01,SKU-101,440,427,28.5,NORMAL
618,20260520,WH_CH_01,SKU-102,359,357,18.8,NORMAL
619,20260520,WH_CH_01,SKU-103,615,633,39.6,NORMAL
620,20260520,WH_CH_01,SKU-201,198,207,8.3,WARNING
621,20260520,WH_CH_01,SKU-202,746,732,31.9,NORMAL
622,20260520,WH_CH_01,SKU-203,419,402,22.3,NORMAL
623,20260520,WH_CH_01,SKU-301,361,355,20.9,NORMAL
624,20260520,WH_CH_01,SKU-302,646,631,24.3,NORMAL
625,20260520,WH_CH_01,SKU-303,669,644,23.9,NORMAL
626,20260520,WH_CH_01,SKU-401,766,744,41.4,NORMAL
627,20260520,WH_CH_01,SKU-402,339,326,20.4,NORMAL
628,20260520,WH_CH_01,SKU-101,662,670,33.5,NORMAL
629,20260520,WH_CH_01,SKU-102,579,555,25.3,NORMAL
630,20260520,WH_CH_01,SKU-103,589,620,32.7,NORMAL
631,20260520,WH_CH_01,SKU-201,231,226,13.3,WARNING
632,20260520,WH_CH_01,SKU-202,264,262,16.4,NORMAL
633,20260520,WH_CH_01,SKU-203,710,688,29.9,NORMAL
634,20260520,WH_CH_01,SKU-301,240,250,19.3,NORMAL
635,20260520,WH_CH_01,SKU-302,765,802,38.2,NORMAL
636,20260520,WH_CH_01,SKU-303,389,381,29.4,NORMAL
637,20260520,WH_CH_01,SKU-401,733,734,43.2,NORMAL
638,20260520,WH_CH_01,SKU-402,226,231,9.6,WARNING
639,20260520,WH_CH_01,SKU-101,288,284,17.8,NORMAL
640,20260520,WH_CH_01,SKU-102,186,179,11.2,WARNING
641,20260520,WH_CH_01,SKU-103,232,239,9.6,WARNING
642,20260520,WH_CH_01,SKU-201,337,336,12.9,WARNING
643,20260520,WH_CH_01,SKU-202,483,490,28.9,NORMAL
644,20260520,WH_CH_01,SKU-203,310,303,21.7,NORMAL
645,20260520,WH_CH_01,SKU-301,303,306,23.6,NORMAL
646,20260520,WH_CH_01,SKU-302,616,627,39.2,NORMAL
647,20260520,WH_CH_01,SKU-303,376,361,17.2,NORMAL
648,20260520,WH_CH_01,SKU-401,527,510,23.2,NORMAL
649,20260520,WH_CH_01,SKU-402,680,685,29.8,NORMAL
650,20260520,WH_CH_01,SKU-101,271,276,19.8,NORMAL
651,20260520,WH_CH_01,SKU-102,560,576,30.3,NORMAL
652,20260520,WH_CH_01,SKU-103,101,102,7.9,WARNING
653,20260520,WH_CH_01,SKU-201,673,699,36.8,NORMAL
654,20260520,WH_CH_01,SKU-202,227,217,8.0,WARNING
655,20260520,WH_CH_01,SKU-203,308,302,17.8,NORMAL
656,20260520,WH_CH_01,SKU-301,223,219,11.0,WARNING
657,20260520,WH_CH_01,SKU-302,427,415,26.0,NORMAL
658,20260520,WH_CH_01,SKU-303,633,657,38.7,NORMAL
659,20260520,WH_CH_01,SKU-401,460,478,19.2,NORMAL
660,20260520,WH_CH_01,SKU-402,606,623,39.0,NORMAL
661,20260520,WH_CH_01,SKU-101,352,339,22.7,NORMAL
662,20260520,WH_CH_01,SKU-102,394,398,14.8,NORMAL
663,20260520,WH_CH_01,SKU-103,641,636,26.5,NORMAL
664,20260520,WH_CH_01,SKU-201,557,581,44.7,NORMAL
665,20260520,WH_CH_01,SKU-202,554,550,27.5,NORMAL
666,20260520,WH_CH_01,SKU-203,458,458,21.8,NORMAL
667,20260520,WH_CH_01,SKU-301,275,290,17.1,NORMAL
668,20260520,WH_CH_01,SKU-302,191,195,11.5,WARNING
669,20260520,WH_CH_01,SKU-303,195,197,12.3,WARNING
670,20260520,WH_CH_01,SKU-401,455,465,22.2,NORMAL
671,20260520,WH_CH_01,SKU-402,475,469,29.4,NORMAL
672,20260520,WH_CH_01,SKU-101,224,224,15.0,NORMAL
673,20260520,WH_CH_01,SKU-102,671,700,36.9,NORMAL
674,20260520,WH_CH_01,SKU-103,1256,1273,36.4,NORMAL
675,20260520,WH_CH_01,SKU-201,542,552,21.2,NORMAL
676,20260520,WH_CH_01,SKU-202,395,410,27.3,NORMAL
677,20260520,WH_CH_01,SKU-203,281,288,15.2,NORMAL
678,20260520,WH_CH_01,SKU-301,468,485,24.3,NORMAL
679,20260520,WH_CH_01,SKU-302,711,734,40.8,NORMAL
680,20260520,WH_CH_01,SKU-303,587,600,25.0,NORMAL
681,20260520,WH_CH_01,SKU-401,541,559,32.9,NORMAL
682,20260520,WH_CH_01,SKU-402,672,672,30.6,NORMAL
683,20260520,WH_CH_01,SKU-101,325,335,24.0,NORMAL
684,20260520,WH_CH_01,SKU-102,196,188,10.5,WARNING
685,20260520,WH_CH_01,SKU-103,826,841,38.3,NORMAL
686,20260520,WH_CH_01,SKU-201,748,732,34.9,NORMAL
687,20260520,WH_CH_01,SKU-202,344,349,16.6,NORMAL
688,20260520,WH_CH_01,SKU-203,477,462,33.0,NORMAL
689,20260520,WH_CH_01,SKU-301,722,695,38.6,NORMAL
690,20260520,WH_CH_01,SKU-302,652,634,33.4,NORMAL
691,20260520,WH_CH_01,SKU-303,739,745,35.5,NORMAL
692,20260520,WH_CH_01,SKU-401,364,361,16.4,NORMAL
693,20260520,WH_CH_01,SKU-402,810,801,44.5,NORMAL
694,20260520,WH_CH_01,SKU-101,557,579,20.0,NORMAL
695,20260520,WH_CH_01,SKU-102,238,236,11.8,WARNING
696,20260520,WH_CH_01,SKU-103,367,371,18.6,NORMAL
697,20260520,WH_CH_01,SKU-201,589,596,31.4,NORMAL
698,20260520,WH_CH_01,SKU-202,126,129,7.6,WARNING
699,20260520,WH_CH_01,SKU-203,766,790,27.2,NORMAL
700,20260520,WH_CH_01,SKU-301,397,410,16.4,NORMAL
701,20260520,WH_CH_01,SKU-302,883,908,43.3,NORMAL
702,20260520,WH_CH_01,SKU-303,186,187,9.4,WARNING
703,20260520,WH_CH_01,SKU-401,257,262,15.5,NORMAL
704,20260520,WH_CH_01,SKU-402,829,795,44.2,NORMAL
705,20260527,WH_CH_01,SKU-101,676,697,33.2,NORMAL
706,20260527,WH_CH_01,SKU-102,278,293,16.3,NORMAL
707,20260527,WH_CH_01,SKU-103,255,267,10.3,WARNING
708,20260527,WH_CH_01,SKU-201,333,331,23.7,NORMAL
709,20260527,WH_CH_01,SKU-202,385,393,23.1,NORMAL
710,20260527,WH_CH_01,SKU-203,442,429,15.9,NORMAL
711,20260527,WH_CH_01,SKU-301,1121,1100,44.0,NORMAL
712,20260527,WH_CH_01,SKU-302,299,310,18.3,NORMAL
713,20260527,WH_CH_01,SKU-303,643,652,38.4,NORMAL
714,20260527,WH_CH_01,SKU-401,580,566,31.5,NORMAL
715,20260527,WH_CH_01,SKU-402,400,392,21.8,NORMAL
716,20260527,WH_CH_01,SKU-101,360,347,23.2,NORMAL
717,20260527,WH_CH_01,SKU-102,300,298,22.9,NORMAL
718,20260527,WH_CH_01,SKU-103,935,947,43.1,NORMAL
719,20260527,WH_CH_01,SKU-201,411,426,21.3,NORMAL
720,20260527,WH_CH_01,SKU-202,531,512,24.4,NORMAL
721,20260527,WH_CH_01,SKU-203,383,390,30.0,NORMAL
722,20260527,WH_CH_01,SKU-301,185,195,10.3,WARNING
723,20260527,WH_CH_01,SKU-302,655,626,23.2,NORMAL
724,20260527,WH_CH_01,SKU-303,673,658,26.3,NORMAL
725,20260527,WH_CH_01,SKU-401,541,560,24.4,NORMAL
726,20260527,WH_CH_01,SKU-402,547,572,30.1,NORMAL
727,20260527,WH_CH_01,SKU-101,537,542,36.2,NORMAL
728,20260527,WH_CH_01,SKU-102,426,429,28.6,NORMAL
729,20260527,WH_CH_01,SKU-103,864,899,32.1,NORMAL
730,20260527,WH_CH_01,SKU-201,281,279,15.5,NORMAL
731,20260527,WH_CH_01,SKU-202,410,403,26.9,NORMAL
732,20260527,WH_CH_01,SKU-203,209,218,15.6,NORMAL
733,20260527,WH_CH_01,SKU-301,171,167,10.4,WARNING
734,20260527,WH_CH_01,SKU-302,850,862,43.1,NORMAL
735,20260527,WH_CH_01,SKU-303,240,241,16.1,NORMAL
736,20260527,WH_CH_01,SKU-401,566,551,32.4,NORMAL
737,20260527,WH_CH_01,SKU-402,263,262,11.4,WARNING
738,20260527,WH_CH_01,SKU-101,424,432,27.0,NORMAL
739,20260527,WH_CH_01,SKU-102,1087,1060,44.2,NORMAL
740,20260527,WH_CH_01,SKU-103,318,312,28.4,NORMAL
741,20260527,WH_CH_01,SKU-201,409,419,21.0,NORMAL
742,20260527,WH_CH_01,SKU-202,262,272,9.4,WARNING
743,20260527,WH_CH_01,SKU-203,980,951,36.6,NORMAL
744,20260527,WH_CH_01,SKU-301,330,343,13.7,WARNING
745,20260527,WH_CH_01,SKU-302,591,592,28.2,NORMAL
746,20260527,WH_CH_01,SKU-303,176,173,8.2,WARNING
747,20260527,WH_CH_01,SKU-401,436,416,27.8,NORMAL
748,20260527,WH_CH_01,SKU-402,730,760,30.4,NORMAL
749,20260527,WH_CH_01,SKU-101,550,551,30.7,NORMAL
750,20260527,WH_CH_01,SKU-102,268,260,17.4,NORMAL
751,20260527,WH_CH_01,SKU-103,174,179,8.5,WARNING
752,20260527,WH_CH_01,SKU-201,746,749,28.8,NORMAL
753,20260527,WH_CH_01,SKU-202,678,692,31.5,NORMAL
754,20260527,WH_CH_01,SKU-203,504,488,19.5,NORMAL
755,20260527,WH_CH_01,SKU-301,202,199,10.0,WARNING
756,20260527,WH_CH_01,SKU-302,228,232,10.6,WARNING
757,20260527,WH_CH_01,SKU-303,438,460,28.8,NORMAL
758,20260527,WH_CH_01,SKU-401,381,367,17.5,NORMAL
759,20260527,WH_CH_01,SKU-402,216,209,13.1,WARNING
760,20260527,WH_CH_01,SKU-101,514,516,27.2,NORMAL
761,20260527,WH_CH_01,SKU-102,863,899,37.5,NORMAL
762,20260527,WH_CH_01,SKU-103,880,905,41.2,NORMAL
763,20260527,WH_CH_01,SKU-201,434,452,21.5,NORMAL
764,20260527,WH_CH_01,SKU-202,847,885,38.5,NORMAL
765,20260527,WH_CH_01,SKU-203,875,882,35.3,NORMAL
766,20260527,WH_CH_01,SKU-301,863,901,36.1,NORMAL
767,20260527,WH_CH_01,SKU-302,645,633,30.2,NORMAL
768,20260527,WH_CH_01,SKU-303,188,186,11.6,WARNING
769,20260527,WH_CH_01,SKU-401,1051,1021,39.3,NORMAL
770,20260527,WH_CH_01,SKU-402,468,448,22.4,NORMAL
771,20260527,WH_CH_01,SKU-101,157,162,10.2,WARNING
772,20260527,WH_CH_01,SKU-102,1067,1067,44.5,NORMAL
773,20260527,WH_CH_01,SKU-103,837,866,43.3,NORMAL
774,20260527,WH_CH_01,SKU-201,461,455,22.8,NORMAL
775,20260527,WH_CH_01,SKU-202,587,571,26.0,NORMAL
776,20260527,WH_CH_01,SKU-203,348,359,18.9,NORMAL
777,20260527,WH_CH_01,SKU-301,368,385,27.6,NORMAL
778,20260527,WH_CH_01,SKU-302,627,657,38.7,NORMAL
779,20260527,WH_CH_01,SKU-303,227,220,13.8,WARNING
780,20260527,WH_CH_01,SKU-401,886,912,38.0,NORMAL
781,20260527,WH_CH_01,SKU-402,714,743,32.3,NORMAL
782,20260527,WH_CH_01,SKU-101,104,105,11.7,WARNING
783,20260527,WH_CH_01,SKU-102,424,425,25.0,NORMAL
784,20260527,WH_CH_01,SKU-103,481,469,20.4,NORMAL
785,20260527,WH_CH_01,SKU-201,290,299,12.5,WARNING
786,20260527,WH_CH_01,SKU-202,602,583,32.4,NORMAL
787,20260527,WH_CH_01,SKU-203,314,314,21.0,NORMAL
788,20260527,WH_CH_01,SKU-301,457,462,30.8,NORMAL
789,20260527,WH_CH_01,SKU-302,414,423,28.2,NORMAL
790,20260527,WH_CH_01,SKU-303,259,260,16.3,NORMAL
791,20260527,WH_CH_01,SKU-401,723,745,37.3,NORMAL
792,20260527,WH_CH_01,SKU-402,513,530,19.7,NORMAL
793,20260603,WH_CH_01,SKU-101,456,478,28.2,NORMAL
794,20260603,WH_CH_01,SKU-102,456,475,17.6,NORMAL
795,20260603,WH_CH_01,SKU-103,867,842,40.1,NORMAL
796,20260603,WH_CH_01,SKU-201,453,466,21.2,NORMAL
797,20260603,WH_CH_01,SKU-202,646,620,29.6,NORMAL
798,20260603,WH_CH_01,SKU-203,578,569,31.6,NORMAL
799,20260603,WH_CH_01,SKU-301,287,274,12.5,WARNING
800,20260603,WH_CH_01,SKU-302,714,697,36.7,NORMAL
801,20260603,WH_CH_01,SKU-303,797,767,28.4,NORMAL
802,20260603,WH_CH_01,SKU-401,186,181,7.9,WARNING
803,20260603,WH_CH_01,SKU-402,446,440,17.6,NORMAL
804,20260603,WH_CH_01,SKU-101,381,366,21.5,NORMAL
805,20260603,WH_CH_01,SKU-102,336,331,20.7,NORMAL
806,20260603,WH_CH_01,SKU-103,462,469,36.1,NORMAL
807,20260603,WH_CH_01,SKU-201,454,476,31.8,NORMAL
808,20260603,WH_CH_01,SKU-202,433,455,26.8,NORMAL
809,20260603,WH_CH_01,SKU-203,255,247,14.6,NORMAL
810,20260603,WH_CH_01,SKU-301,909,919,41.8,NORMAL
811,20260603,WH_CH_01,SKU-302,452,460,28.8,NORMAL
812,20260603,WH_CH_01,SKU-303,331,325,18.1,NORMAL
813,20260603,WH_CH_01,SKU-401,479,486,22.1,NORMAL
814,20260603,WH_CH_01,SKU-402,286,292,17.2,NORMAL
815,20260603,WH_CH_01,SKU-101,482,462,22.0,NORMAL
816,20260603,WH_CH_01,SKU-102,744,773,29.7,NORMAL
817,20260603,WH_CH_01,SKU-103,615,604,26.3,NORMAL
818,20260603,WH_CH_01,SKU-201,429,420,22.1,NORMAL
819,20260603,WH_CH_01,SKU-202,976,999,41.7,NORMAL
