Distributor,Brand,Chain (canonical),"NSV (secondary, Jun26)",Distributor+Brand Total NSV (Jun26),Cont%,Source,Computed
Sri Vijaya Durga Agencies_Mt,The Derma Co,Apollo,3.46,31.56,10.9632,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,The Derma Co,D-Mart,23.88,31.56,75.6654,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,The Derma Co,Health & Glow,2.69,31.56,8.5234,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
Sri Vijaya Durga Agencies_Mt,The Derma Co,Reliance Retail,1.53,31.56,4.8479,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
United Marketing_Mt-Ship to,Mamaearth,Apollo,0.41,0.41,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Aqualogica,Apollo,0.42,1.98,21.2121,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Aqualogica,Health & Glow,0.73,1.98,36.8687,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Aqualogica,Lulu,0.38,1.98,19.1919,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Aqualogica,More Retail,0.45,1.98,22.7273,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,BBlunt,Apollo,0.06,0.32,18.75,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,BBlunt,Health & Glow,0.26,0.32,81.25,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Dr. Sheth,Health & Glow,0.15,0.15,100.0,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Mamaearth,Apollo,18.48,39.91,46.3042,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Mamaearth,Health & Glow,2.16,39.91,5.4122,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Mamaearth,Lulu,7.58,39.91,18.9927,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Mamaearth,More Retail,5.42,39.91,13.5806,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Mamaearth,National Mart,3.72,39.91,9.321,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,Mamaearth,Ratnadeep,2.55,39.91,6.3894,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,The Derma Co,Apollo,8.51,28.71,29.6412,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,The Derma Co,Health & Glow,9.29,28.71,32.3581,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,The Derma Co,Lulu,7.01,28.71,24.4166,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
VENKATESHWARA AGENCIES-TG,The Derma Co,More Retail,3.9,28.71,13.5841,PowerBI/RawDataFolders/Secondary_Distributor_Monthly/secondary_distributor_chain_Jun_26.csv,"mtagent 2026-07-19 -- Cont% = NSV(chain)/SUM(NSV over chains) per Distributor+Brand, same methodology as ChainAccount_Mapping_Inferred.csv"
